scenario,k_peak,affected_strings_peak,z_peak [W]
Degradation Mode 1,30,150,126028
Degradation Mode 2,30,150,252588
Degradation Mode 3,30,150,379888
Degradation Mode 4,30,150,506064
Degradation Mode 5,30,150,632560
Degradation Mode 6,30,150,760542
