scenario,k_peak,affected_strings_peak,z_peak [%]
Degradation Mode 1,30,1,29.769
Degradation Mode 2,27,1,36.1705
Degradation Mode 3,18,1,38.2028
Degradation Mode 4,13,1,41.1473
Degradation Mode 5,9,1,45.527
Degradation Mode 6,7,1,51.8945
